sleeve,vehicle,entry_date,entry_price,exit_date,exit_price,pnl_pct,hold_days,exit_reason
XLK->TECL,XLK_DEF,2011-08-08,9.7247,2012-01-17,10.9141,12.231,162,def_to_vehicle
XLK->TECL,TECL,2012-01-17,0.9302,2012-11-12,1.0355,11.3264,300,wma_cross_below
SPY->SPXL,SPXL,2012-01-13,4.9639,2012-11-14,6.0061,20.9959,306,wma_cross_below
SPY->SPXL,SPY_DEF,2012-11-14,109.5633,2012-11-23,111.0854,1.3892,9,def_to_vehicle
XLK->TECL,XLK_DEF,2012-11-12,11.9154,2012-12-07,12.2139,2.5047,25,def_to_vehicle
XLK->TECL,TECL,2012-12-07,1.1118,2012-12-27,1.0835,-2.5421,20,wma_cross_below
XLK->TECL,XLK_DEF,2012-12-27,12.1277,2013-01-24,12.3898,2.161,28,def_to_vehicle
SPY->SPXL,SPXL,2012-11-23,6.2443,2014-09-19,18.9581,203.6073,665,take_profit(200%)
SPY->SPXL,SPY_DEF,2014-09-19,166.4216,2014-11-07,167.7842,0.8188,49,def_to_vehicle
XLK->TECL,TECL,2013-01-24,1.1452,2015-02-19,3.4285,199.3816,756,take_profit(200%)
XLK->TECL,XLK_DEF,2015-02-19,18.7261,2015-07-13,18.4537,-1.455,144,def_to_vehicle
SPY->SPXL,SPXL,2014-11-07,19.1516,2015-08-21,18.6214,-2.7685,287,wma_cross_below
XLK->TECL,TECL,2015-07-13,3.1962,2015-08-24,2.1675,-32.1847,42,stop_loss(12%)
XLK->TECL,XLK_DEF,2015-08-24,16.3782,2015-10-21,18.7192,14.2929,58,def_to_vehicle
SPY->SPXL,SPY_DEF,2015-08-21,169.0807,2015-10-28,174.3998,3.1459,68,def_to_vehicle
SPY->SPXL,SPXL,2015-10-28,19.7022,2015-11-16,18.3346,-6.9412,19,wma_cross_below
SPY->SPXL,SPY_DEF,2015-11-16,170.4568,2015-11-20,176.464,3.5242,4,def_to_vehicle
SPY->SPXL,SPXL,2015-11-20,20.2871,2015-12-14,18.1298,-10.6336,24,wma_cross_below
XLK->TECL,TECL,2015-10-21,3.1516,2016-01-08,2.8612,-9.2151,79,stop_loss(12%)
XLK->TECL,XLK_DEF,2016-01-08,18.21,2016-03-17,19.4342,6.7224,69,def_to_vehicle
SPY->SPXL,SPY_DEF,2015-12-14,170.2462,2016-03-17,172.251,1.1776,94,def_to_vehicle
XLK->TECL,TECL,2016-03-17,3.3237,2016-05-05,3.0268,-8.9307,49,wma_cross_below
XLK->TECL,XLK_DEF,2016-05-05,18.8768,2016-05-11,19.1687,1.5464,6,def_to_vehicle
XLK->TECL,TECL,2016-05-11,3.1652,2017-10-30,9.6231,204.0274,537,take_profit(200%)
SPY->SPXL,SPXL,2016-03-17,18.1298,2018-10-16,43.9896,142.6369,943,wma_cross_below
SPY->SPXL,SPY_DEF,2018-10-16,247.3076,2019-02-19,248.6448,0.5407,126,def_to_vehicle
XLK->TECL,XLK_DEF,2017-10-30,28.7967,2019-02-27,33.2129,15.3358,485,def_to_vehicle
SPY->SPXL,SPXL,2019-02-19,41.6758,2019-06-04,41.313,-0.8704,105,wma_cross_below
XLK->TECL,TECL,2019-02-27,11.2122,2019-08-26,14.024,25.0783,180,vol_exit(30.1%)
SPY->SPXL,SPY_DEF,2019-06-04,250.3172,2020-07-28,298.5037,19.2502,420,def_to_vehicle
XLK->TECL,XLK_DEF,2019-08-26,36.8638,2020-09-01,59.6743,61.878,372,def_to_vehicle
XLK->TECL,TECL,2020-09-01,35.297,2020-09-04,30.5002,-13.5896,3,stop_loss(12%)
SPY->SPXL,SPXL,2020-07-28,45.7716,2021-12-28,141.2861,208.6763,518,take_profit(200%)
SPY->SPXL,SPY_DEF,2021-12-28,451.8775,2022-05-20,373.1326,-17.4262,143,def_stop(18%)
SPY->SPXL,SPXL,2023-01-30,69.502,2023-03-13,57.8714,-16.7342,42,stop_loss(12%)
XLK->TECL,XLK_DEF,2020-09-04,57.0223,2023-04-17,72.9834,27.9909,955,def_to_vehicle
SPY->SPXL,SPY_DEF,2023-03-13,367.015,2023-04-25,396.1764,7.9456,43,def_to_vehicle
SPY->SPXL,SPXL,2023-04-25,71.398,2023-10-26,69.9062,-2.0894,184,wma_cross_below
SPY->SPXL,SPY_DEF,2023-10-26,404.7559,2023-11-06,423.2418,4.5672,11,def_to_vehicle
XLK->TECL,TECL,2023-04-17,32.9137,2024-07-08,99.7804,203.1573,448,take_profit(200%)
SPY->SPXL,SPXL,2023-11-06,79.4394,2025-03-11,140.1488,76.4222,491,wma_cross_below
XLK->TECL,XLK_DEF,2024-07-08,115.694,2025-04-07,87.0762,-24.7358,273,def_stop(18%)
SPY->SPXL,SPY_DEF,2025-03-11,552.8985,2025-05-21,583.3505,5.5077,71,def_to_vehicle
XLK->TECL,TECL,2025-06-11,76.6312,2025-12-08,127.0983,65.8572,180,vol_exit(244.6%)
SPY->SPXL,SPXL,2025-05-21,150.6507,2026-03-23,193.26,28.2835,306,wma_cross_below
XLK->TECL,XLK_DEF,2025-12-08,147.2067,2026-03-23,136.95,-6.9676,105,end_of_data
SPY->SPXL,SPY_DEF,2026-03-23,658.07,2026-03-23,655.38,-0.4088,0,end_of_data
