sleeve,vehicle,entry_date,entry_price,exit_date,exit_price,pnl_pct,hold_days,exit_reason
SMH→SOXL,SOXL,2006-12-14,2.2086,2006-12-22,2.0414,-7.5737,8,wma_cross_below
SMH→SOXL,SMH_DEF,2006-12-22,9.3579,2007-01-12,9.7061,3.72,21,def_to_vehicle
SMH→SOXL,SOXL,2007-01-12,2.3847,2007-01-19,2.0456,-14.2195,7,stop_loss(12%)
SPY→SPXL,SPXL,2006-08-11,8.9841,2007-08-17,13.4284,49.4688,371,wma_cross_below
SPY→SPXL,SPY_DEF,2007-08-17,103.1454,2007-09-27,108.9127,5.5914,41,def_to_vehicle
SPY→SPXL,SPXL,2007-09-27,15.9855,2007-11-09,13.4759,-15.6991,43,stop_loss(12%)
QQQ→TQQQ,TQQQ,2006-09-29,0.3746,2007-11-14,0.6431,71.648,411,vol_exit(31.8%)
QQQ→TQQQ,QQQ_DEF,2007-11-14,44.2672,2008-03-10,36.2252,-18.1669,117,def_stop(18%)
SMH→SOXL,SMH_DEF,2007-01-19,9.2604,2008-06-02,10.265,10.8483,500,def_to_vehicle
SMH→SOXL,SOXL,2008-06-02,2.1226,2008-06-12,1.7792,-16.1758,10,stop_loss(12%)
SPY→SPXL,SPY_DEF,2007-11-09,103.7701,2008-09-18,85.3727,-17.7291,314,def_stop(18%)
SMH→SOXL,SMH_DEF,2008-06-12,9.6159,2008-09-18,7.9097,-17.7435,98,def_stop(18%)
QQQ→TQQQ,TQQQ,2009-08-05,0.1691,2010-05-11,0.2556,51.1374,279,vol_exit(30.6%)
SPY→SPXL,SPXL,2009-08-05,2.8713,2010-05-21,3.2547,13.3504,289,vol_exit(30.1%)
QQQ→TQQQ,QQQ_DEF,2010-05-11,41.218,2010-09-27,43.44,5.3908,139,def_to_vehicle
SPY→SPXL,SPY_DEF,2010-05-21,79.7869,2010-09-29,87.0413,9.0922,131,def_to_vehicle
QQQ→TQQQ,TQQQ,2010-09-27,0.2814,2011-06-28,0.3749,33.2237,274,wma_cross_below
SMH→SOXL,SOXL,2010-10-27,0.5121,2011-07-22,0.635,24.0128,268,wma_cross_below
SPY→SPXL,SPXL,2010-09-29,4.0195,2011-08-08,4.1765,3.9065,313,wma_cross_below
SPY→SPXL,SPY_DEF,2011-08-08,90.2682,2012-01-13,100.4723,11.3041,158,def_to_vehicle
QQQ→TQQQ,QQQ_DEF,2011-06-28,48.7269,2012-01-17,51.9051,6.5225,203,def_to_vehicle
SMH→SOXL,SMH_DEF,2011-07-22,11.9706,2012-02-16,14.2533,19.0693,209,def_to_vehicle
SMH→SOXL,SOXL,2012-02-16,0.6127,2012-03-07,0.5425,-11.4572,20,stop_loss(12%)
SMH→SOXL,SMH_DEF,2012-03-07,13.8757,2012-08-27,13.9628,0.6273,173,def_to_vehicle
SMH→SOXL,SOXL,2012-08-27,0.4768,2012-09-21,0.4616,-3.1845,25,wma_cross_below
QQQ→TQQQ,TQQQ,2012-01-17,0.392,2012-11-12,0.4798,22.4054,300,wma_cross_below
SMH→SOXL,SMH_DEF,2012-09-21,13.6762,2012-12-20,14.1514,3.4742,90,def_to_vehicle
QQQ→TQQQ,QQQ_DEF,2012-11-12,56.7835,2012-12-21,58.0841,2.2906,39,def_to_vehicle
QQQ→TQQQ,TQQQ,2012-12-21,0.5089,2012-12-24,0.5141,1.0296,3,wma_cross_below
QQQ→TQQQ,QQQ_DEF,2012-12-24,58.2362,2013-01-24,59.6953,2.5053,31,def_to_vehicle
SPY→SPXL,SPXL,2012-01-13,4.9639,2014-03-05,15.0714,203.6205,782,take_profit(200%)
SMH→SOXL,SOXL,2012-12-20,0.4273,2014-03-07,1.3042,205.2316,442,take_profit(200%)
QQQ→TQQQ,TQQQ,2013-01-24,0.5489,2014-08-19,1.6967,209.1239,572,take_profit(200%)
QQQ→TQQQ,QQQ_DEF,2014-08-19,89.9082,2015-10-28,104.8643,16.6349,435,def_to_vehicle
SPY→SPXL,SPY_DEF,2014-03-05,152.8932,2015-11-04,178.0647,16.4635,609,def_to_vehicle
SPY→SPXL,SPXL,2015-11-04,20.9357,2015-11-16,18.3346,-12.4239,12,stop_loss(12%)
